ref:FR:prix-carburants,brand,name,operator,branch
74520011,TotalEnergies,Carburant TotalEnergies,,
74520010,Carrefour Market,Carrefour Market,,
74520009,Total,Total Aire de Valleiry Nord,,
74330004,E.Leclerc,Station Service E.Leclerc,,
66140003,Intermarché,Intermarché,,
66750004,TotalEnergies,TotalEnergies,,
66140002,Intermarché,Intermarché Super,Groupement des Mousquetaires,
83400003,Eni,BP,,
13200015,Total,Relais Total du pont Van Gogh,Total,
83000010,Total Access,Relais Total du Champ de Mars,Total,
30000010,Campus,Campus,Campus,
93160008,Total,Total,Total,
94270005,E.Leclerc,E. Leclerc,,
13460001,,Les Tamaris,Sarl les Tamaris,
77340006,TotalEnergies,Total Access,Total,
65240001,Carrefour,Carrefour Contact,,
11100017,Total,Total Contact,,
66420002,Système U,Système U,,
13090020,Eni,Eni,,
13090018,TotalEnergies,,,
77600004,Total,Station Total,Total,
66000005,Système U,,,
66530001,Carrefour,Carrefour,,
66700001,Intermarché,Intermarché,Groupement des Mousquetaires,
66700007,TotalEnergies,,,
66600001,Intermarché,Intermarché,,
66600002,Total Access,Total Access,,
11500005,Carrefour,Carrefour,,
11500004,,Lopez et Fils,,
9100003,Total,Total,,
9100001,Intermarché,Intermarché,Intermarché,
11370001,Carrefour,Carrefour Contact,,
66200003,Intermarché,Intermarché,,
66200005,Auchan,Auchan,,
11300003,Esso Express,Esso Express,Esso,
11300004,E.Leclerc,Station Service E. Leclerc,,
11300006,Système U,Station U,Super U,
31260001,Intermarché,Intermarché,,
4500003,Intermarché,Intermarché,Groupement des Mousquetaires,
4210004,Independent,Ets Garcin Frères,,
4210006,Utile,Utile,,
83000006,Intermarché,Intermarché,Groupement des Mousquetaires,
13010011,TotalEnergies,TotalEnergies,Total Acces,
11260001,Intermarché,Intermarché,Groupement des Mousquetaires,
9190002,Intermarché,Intermarché,,
66300012,Netto,,,
66300015,Intermarché,,,
66300013,Rompetrol,Rompetrol,,
66300017,Carrefour,Carrefour,,
13410004,Carrefour Contact,Carrefour Contact,Carrefour,
13750006,U,U Express,,
30000011,Intermarché,Intermarché,Groupement des Mousquetaires,
30000021,TotalEnergies,2 T Services,,
30021001,Carrefour,Carrefour,Carrefour,
30000019,Total Access,Total Access,Total,
13400001,Auchan,C. C. Auchan,,
13112003,Intermarché,Intermarché,,
30900023,Auchan,Auchan,,
30510002,Avia,Avia,,
13400003,Total,Camp de Sarlier,,
66130002,,,Super U,
9200003,,Le Relais de Guzet,DEFA,
9200001,Carrefour,Carrefour Market,,
77310009,Total Access,Total Access,Total,
30900018,Total,Total,,
30900017,Total Access,Total Access,Total,
30900015,TotalEnergies,Total,,
13370006,Intermarché,Station du Moulin Pont-Royal,,
91390003,Intermarché,Intermarché,Groupement des Mousquetaires,
13013018,Casino,Casino Marseille Delprat,,
